feature,weight,std,fold
CU_NI_MO_id,0.022619595773555806,0.009859338481820775,1
CR_gtm_MO_gtm_CU_gtm_id2,0.018193865516350147,0.0054770293944912075,1
CU_MN_TI_id,0.016264917496014903,0.009003865633984916,1
CU_NI_CR_id,0.012698599263280487,0.009735173921111426,1
MN_gtm_TI_gtm_ZN_gtm_id2,0.01051508444272125,0.0041744171718675295,1
MN_gtm_ZN_gtm_id2,0.008106245422429156,0.006221213097341857,1
V40_gtm_MO_gtm_CU_gtm_id2,0.007302477812244305,0.0054162879251252564,1
CR_gtm_AG_gtm_CU_gtm_id2,0.005884575201413221,0.00454434890594442,1
H2O_gtm_MN_gtm_CR_gtm_id2,0.0023995761707812256,0.001249970023088903,1
MN_gtm_CR_gtm_V40_gtm_id2,0.0015891441557882838,0.0014663783409151283,1
H2O_CO_CR_id,0.0015356404291069492,0.002788835127406336,1
MN_gtm_CR_gtm_FE_gtm_id2,0.0011457525526690827,0.001769487375019884,1
CR_gtm_FE_gtm_V40_gtm_id2,0.0006641516953169816,0.001159989011670928,1
MN_gtm_CR_gtm_AG_gtm_id2,0.00020331146870028276,0.001273911430874656,1
H2O_NI_CO_id,0.0,0.0,1
H2O_NI_V_id,0.0,0.0,1
H2O_NI_AG_id,0.0,0.0,1
H2O_NI_V40_id,0.0,0.0,1
H2O_NI_MO_id,0.0,0.0,1
H2O_NI_MN_id,0.0,0.0,1
H2O_NI_CR_id,0.0,0.0,1
FE_MO_TI_id,0.0,0.0,1
FE_MN_TI_id,0.0,0.0,1
H2O_V_CO_id,0.0,0.0,1
FE_MO_MN_id,0.0,0.0,1
FE_V40_TI_id,0.0,0.0,1
FE_V40_MN_id,0.0,0.0,1
FE_V40_MO_id,0.0,0.0,1
FE_AG_TI_id,0.0,0.0,1
FE_AG_MN_id,0.0,0.0,1
FE_AG_MO_id,0.0,0.0,1
FE_AG_V40_id,0.0,0.0,1
H2O_NI_TI_id,0.0,0.0,1
H2O_V_TI_id,0.0,0.0,1
H2O_V_CR_id,0.0,0.0,1
H2O_CO_TI_id,0.0,0.0,1
H2O_AG_MO_id,0.0,0.0,1
H2O_AG_V40_id,0.0,0.0,1
H2O_CR_TI_id,0.0,0.0,1
H2O_CR_MN_id,0.0,0.0,1
H2O_CR_MO_id,0.0,0.0,1
H2O_CR_V40_id,0.0,0.0,1
H2O_CR_AG_id,0.0,0.0,1
H2O_CO_MN_id,0.0,0.0,1
H2O_V_AG_id,0.0,0.0,1
H2O_CO_MO_id,0.0,0.0,1
H2O_CO_V40_id,0.0,0.0,1
H2O_CO_AG_id,0.0,0.0,1
FE_CR_MN_id,0.0,0.0,1
H2O_V_MN_id,0.0,0.0,1
H2O_V_MO_id,0.0,0.0,1
H2O_V_V40_id,0.0,0.0,1
FE_CR_TI_id,0.0,0.0,1
MO_gtm_AG_gtm_CU_gtm_id2,0.0,0.0,1
FE_CR_MO_id,0.0,0.0,1
FE_CR_V40_id,0.0,0.0,1
FE_H2O_TI_id,0.0,0.0,1
FE_H2O_MN_id,0.0,0.0,1
FE_H2O_MO_id,0.0,0.0,1
FE_H2O_V40_id,0.0,0.0,1
FE_H2O_AG_id,0.0,0.0,1
FE_H2O_CR_id,0.0,0.0,1
FE_H2O_CO_id,0.0,0.0,1
FE_H2O_V_id,0.0,0.0,1
FE_H2O_NI_id,0.0,0.0,1
CU_MO_TI_id,0.0,0.0,1
CU_MO_MN_id,0.0,0.0,1
CU_V40_TI_id,0.0,0.0,1
CU_V40_MN_id,0.0,0.0,1
CU_V40_MO_id,0.0,0.0,1
CU_AG_TI_id,0.0,0.0,1
CU_AG_MN_id,0.0,0.0,1
CU_AG_MO_id,0.0,0.0,1
CU_AG_V40_id,0.0,0.0,1
CU_CR_TI_id,0.0,0.0,1
FE_NI_V_id,0.0,0.0,1
FE_NI_CO_id,0.0,0.0,1
FE_NI_CR_id,0.0,0.0,1
FE_V_MN_id,0.0,0.0,1
FE_CR_AG_id,0.0,0.0,1
H2O_AG_MN_id,0.0,0.0,1
FE_CO_MN_id,0.0,0.0,1
FE_CO_MO_id,0.0,0.0,1
FE_CO_V40_id,0.0,0.0,1
FE_CO_AG_id,0.0,0.0,1
FE_CO_CR_id,0.0,0.0,1
FE_V_TI_id,0.0,0.0,1
FE_V_MO_id,0.0,0.0,1
FE_NI_AG_id,0.0,0.0,1
FE_V_V40_id,0.0,0.0,1
FE_V_AG_id,0.0,0.0,1
FE_V_CR_id,0.0,0.0,1
FE_V_CO_id,0.0,0.0,1
FE_NI_TI_id,0.0,0.0,1
FE_NI_MN_id,0.0,0.0,1
FE_NI_MO_id,0.0,0.0,1
FE_NI_V40_id,0.0,0.0,1
FE_CO_TI_id,0.0,0.0,1
H2O_V40_MN_id,0.0,0.0,1
H2O_AG_TI_id,0.0,0.0,1
CO_MN_TI_id,0.0,0.0,1
CO_MO_MN_id,0.0,0.0,1
CO_V40_TI_id,0.0,0.0,1
CO_V40_MN_id,0.0,0.0,1
CO_V40_MO_id,0.0,0.0,1
CO_AG_TI_id,0.0,0.0,1
CO_AG_MN_id,0.0,0.0,1
CO_AG_MO_id,0.0,0.0,1
CO_AG_V40_id,0.0,0.0,1
CO_CR_TI_id,0.0,0.0,1
CO_CR_MN_id,0.0,0.0,1
CO_CR_MO_id,0.0,0.0,1
CO_CR_V40_id,0.0,0.0,1
CO_CR_AG_id,0.0,0.0,1
V_MN_TI_id,0.0,0.0,1
V_MO_TI_id,0.0,0.0,1
V_MO_MN_id,0.0,0.0,1
V_V40_TI_id,0.0,0.0,1
V_V40_MN_id,0.0,0.0,1
V_V40_MO_id,0.0,0.0,1
CO_MO_TI_id,0.0,0.0,1
CR_AG_V40_id,0.0,0.0,1
V_AG_MN_id,0.0,0.0,1
CR_AG_MO_id,0.0,0.0,1
ZN_gtm,0.0,0.0,1
MO_MN_TI_id,0.0,0.0,1
V40_MN_TI_id,0.0,0.0,1
V40_MO_TI_id,0.0,0.0,1
V40_MO_MN_id,0.0,0.0,1
AG_MN_TI_id,0.0,0.0,1
AG_MO_TI_id,0.0,0.0,1
AG_MO_MN_id,0.0,0.0,1
AG_V40_TI_id,0.0,0.0,1
AG_V40_MN_id,0.0,0.0,1
AG_V40_MO_id,0.0,0.0,1
CR_MN_TI_id,0.0,0.0,1
CR_MO_TI_id,0.0,0.0,1
CR_MO_MN_id,0.0,0.0,1
CR_V40_TI_id,0.0,0.0,1
CR_V40_MN_id,0.0,0.0,1
CR_V40_MO_id,0.0,0.0,1
CR_AG_TI_id,0.0,0.0,1
CR_AG_MN_id,0.0,0.0,1
V_AG_TI_id,0.0,0.0,1
V_AG_MO_id,0.0,0.0,1
H2O_V40_MO_id,0.0,0.0,1
NI_CR_MN_id,0.0,0.0,1
NI_CR_V40_id,0.0,0.0,1
NI_CR_AG_id,0.0,0.0,1
NI_CO_TI_id,0.0,0.0,1
NI_CO_MN_id,0.0,0.0,1
NI_CO_MO_id,0.0,0.0,1
NI_CO_V40_id,0.0,0.0,1
NI_CO_AG_id,0.0,0.0,1
NI_CO_CR_id,0.0,0.0,1
NI_V_TI_id,0.0,0.0,1
NI_V_MN_id,0.0,0.0,1
NI_V_MO_id,0.0,0.0,1
NI_V_V40_id,0.0,0.0,1
NI_V_AG_id,0.0,0.0,1
NI_V_CR_id,0.0,0.0,1
NI_V_CO_id,0.0,0.0,1
H2O_MN_TI_id,0.0,0.0,1
H2O_MO_TI_id,0.0,0.0,1
H2O_MO_MN_id,0.0,0.0,1
H2O_V40_TI_id,0.0,0.0,1
NI_CR_MO_id,0.0,0.0,1
NI_CR_TI_id,0.0,0.0,1
V_AG_V40_id,0.0,0.0,1
NI_AG_V40_id,0.0,0.0,1
V_CR_TI_id,0.0,0.0,1
V_CR_MN_id,0.0,0.0,1
V_CR_MO_id,0.0,0.0,1
V_CR_V40_id,0.0,0.0,1
V_CR_AG_id,0.0,0.0,1
V_CO_TI_id,0.0,0.0,1
V_CO_MN_id,0.0,0.0,1
V_CO_MO_id,0.0,0.0,1
V_CO_V40_id,0.0,0.0,1
V_CO_AG_id,0.0,0.0,1
V_CO_CR_id,0.0,0.0,1
NI_MN_TI_id,0.0,0.0,1
NI_MO_TI_id,0.0,0.0,1
NI_MO_MN_id,0.0,0.0,1
NI_V40_TI_id,0.0,0.0,1
NI_V40_MN_id,0.0,0.0,1
NI_V40_MO_id,0.0,0.0,1
NI_AG_MN_id,0.0,0.0,1
NI_AG_MO_id,0.0,0.0,1
CU_CR_MN_id,0.0,0.0,1
CU_CR_AG_id,0.0,0.0,1
CU_CR_MO_id,0.0,0.0,1
AG_V40_id,0.0,0.0,1
CR_MN_id,0.0,0.0,1
CR_MO_id,0.0,0.0,1
CR_V40_id,0.0,0.0,1
CR_AG_id,0.0,0.0,1
CO_TI_id,0.0,0.0,1
CO_MN_id,0.0,0.0,1
CO_MO_id,0.0,0.0,1
CO_V40_id,0.0,0.0,1
CO_AG_id,0.0,0.0,1
CO_CR_id,0.0,0.0,1
V_TI_id,0.0,0.0,1
V_MN_id,0.0,0.0,1
V_MO_id,0.0,0.0,1
V_V40_id,0.0,0.0,1
V_AG_id,0.0,0.0,1
V_CR_id,0.0,0.0,1
V_CO_id,0.0,0.0,1
NI_TI_id,0.0,0.0,1
NI_MN_id,0.0,0.0,1
CR_TI_id,0.0,0.0,1
AG_MO_id,0.0,0.0,1
NI_V40_id,0.0,0.0,1
AG_MN_id,0.0,0.0,1
ZN_FE_H2O_id,0.0,0.0,1
ZN_CU_TI_id,0.0,0.0,1
ZN_CU_MN_id,0.0,0.0,1
ZN_CU_MO_id,0.0,0.0,1
ZN_CU_V40_id,0.0,0.0,1
ZN_CU_AG_id,0.0,0.0,1
ZN_CU_CR_id,0.0,0.0,1
ZN_CU_CO_id,0.0,0.0,1
ZN_CU_V_id,0.0,0.0,1
ZN_CU_NI_id,0.0,0.0,1
ZN_CU_H2O_id,0.0,0.0,1
ZN_CU_FE_id,0.0,0.0,1
MN_TI_id,0.0,0.0,1
MO_TI_id,0.0,0.0,1
MO_MN_id,0.0,0.0,1
V40_TI_id,0.0,0.0,1
V40_MN_id,0.0,0.0,1
V40_MO_id,0.0,0.0,1
AG_TI_id,0.0,0.0,1
NI_MO_id,0.0,0.0,1
NI_AG_id,0.0,0.0,1
ZN_FE_V_id,0.0,0.0,1
CU_TI_id,0.0,0.0,1
CU_V40_id,0.0,0.0,1
CU_AG_id,0.0,0.0,1
CU_CR_id,0.0,0.0,1
CU_CO_id,0.0,0.0,1
CU_V_id,0.0,0.0,1
CU_NI_id,0.0,0.0,1
CU_H2O_id,0.0,0.0,1
CU_FE_id,0.0,0.0,1
ZN_TI_id,0.0,0.0,1
ZN_MN_id,0.0,0.0,1
ZN_MO_id,0.0,0.0,1
ZN_V40_id,0.0,0.0,1
ZN_AG_id,0.0,0.0,1
ZN_CR_id,0.0,0.0,1
ZN_CO_id,0.0,0.0,1
ZN_V_id,0.0,0.0,1
ZN_NI_id,0.0,0.0,1
ZN_H2O_id,0.0,0.0,1
ZN_FE_id,0.0,0.0,1
CU_MO_id,0.0,0.0,1
FE_H2O_id,0.0,0.0,1
NI_CR_id,0.0,0.0,1
FE_NI_id,0.0,0.0,1
NI_CO_id,0.0,0.0,1
NI_V_id,0.0,0.0,1
H2O_TI_id,0.0,0.0,1
H2O_MN_id,0.0,0.0,1
H2O_MO_id,0.0,0.0,1
H2O_V40_id,0.0,0.0,1
H2O_AG_id,0.0,0.0,1
H2O_CR_id,0.0,0.0,1
H2O_CO_id,0.0,0.0,1
H2O_V_id,0.0,0.0,1
H2O_NI_id,0.0,0.0,1
FE_TI_id,0.0,0.0,1
FE_MN_id,0.0,0.0,1
FE_MO_id,0.0,0.0,1
FE_V40_id,0.0,0.0,1
FE_AG_id,0.0,0.0,1
FE_CR_id,0.0,0.0,1
FE_CO_id,0.0,0.0,1
FE_V_id,0.0,0.0,1
ZN_FE_NI_id,0.0,0.0,1
ZN_FE_CO_id,0.0,0.0,1
CU_CR_V40_id,0.0,0.0,1
CU_H2O_MO_id,0.0,0.0,1
CU_H2O_AG_id,0.0,0.0,1
CU_H2O_CR_id,0.0,0.0,1
CU_H2O_CO_id,0.0,0.0,1
CU_H2O_V_id,0.0,0.0,1
CU_H2O_NI_id,0.0,0.0,1
CU_FE_TI_id,0.0,0.0,1
CU_FE_MN_id,0.0,0.0,1
CU_FE_MO_id,0.0,0.0,1
CU_FE_V40_id,0.0,0.0,1
CU_FE_AG_id,0.0,0.0,1
CU_FE_CR_id,0.0,0.0,1
CU_FE_CO_id,0.0,0.0,1
CU_FE_V_id,0.0,0.0,1
CU_FE_NI_id,0.0,0.0,1
CU_FE_H2O_id,0.0,0.0,1
ZN_MN_TI_id,0.0,0.0,1
ZN_MO_TI_id,0.0,0.0,1
ZN_MO_MN_id,0.0,0.0,1
ZN_V40_TI_id,0.0,0.0,1
CU_H2O_V40_id,0.0,0.0,1
CU_H2O_MN_id,0.0,0.0,1
ZN_V40_MO_id,0.0,0.0,1
CU_H2O_TI_id,0.0,0.0,1
FE_gtm,0.0,0.0,1
CU_CO_TI_id,0.0,0.0,1
CU_CO_MN_id,0.0,0.0,1
CU_CO_MO_id,0.0,0.0,1
CU_CO_V40_id,0.0,0.0,1
CU_CO_AG_id,0.0,0.0,1
CU_CO_CR_id,0.0,0.0,1
CU_V_TI_id,0.0,0.0,1
CU_V_MN_id,0.0,0.0,1
CU_V_MO_id,0.0,0.0,1
CU_V_V40_id,0.0,0.0,1
CU_V_AG_id,0.0,0.0,1
CU_V_CR_id,0.0,0.0,1
CU_V_CO_id,0.0,0.0,1
CU_NI_TI_id,0.0,0.0,1
CU_NI_MN_id,0.0,0.0,1
CU_NI_V40_id,0.0,0.0,1
CU_NI_AG_id,0.0,0.0,1
CU_NI_CO_id,0.0,0.0,1
ZN_V40_MN_id,0.0,0.0,1
ZN_AG_TI_id,0.0,0.0,1
ZN_FE_CR_id,0.0,0.0,1
ZN_NI_MN_id,0.0,0.0,1
ZN_NI_V40_id,0.0,0.0,1
ZN_NI_AG_id,0.0,0.0,1
ZN_NI_CR_id,0.0,0.0,1
ZN_NI_CO_id,0.0,0.0,1
ZN_NI_V_id,0.0,0.0,1
ZN_H2O_TI_id,0.0,0.0,1
ZN_H2O_MN_id,0.0,0.0,1
ZN_H2O_MO_id,0.0,0.0,1
ZN_H2O_V40_id,0.0,0.0,1
ZN_H2O_AG_id,0.0,0.0,1
ZN_H2O_CR_id,0.0,0.0,1
ZN_H2O_CO_id,0.0,0.0,1
ZN_H2O_V_id,0.0,0.0,1
ZN_H2O_NI_id,0.0,0.0,1
ZN_FE_TI_id,0.0,0.0,1
ZN_FE_MN_id,0.0,0.0,1
ZN_FE_MO_id,0.0,0.0,1
ZN_FE_V40_id,0.0,0.0,1
ZN_FE_AG_id,0.0,0.0,1
ZN_NI_MO_id,0.0,0.0,1
ZN_NI_TI_id,0.0,0.0,1
ZN_AG_MN_id,0.0,0.0,1
ZN_V_CO_id,0.0,0.0,1
ZN_AG_MO_id,0.0,0.0,1
ZN_AG_V40_id,0.0,0.0,1
ZN_CR_TI_id,0.0,0.0,1
ZN_CR_MN_id,0.0,0.0,1
ZN_CR_MO_id,0.0,0.0,1
ZN_CR_V40_id,0.0,0.0,1
